中央频道,#genre#
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
翡翠台,http://23.237.10.66:16106
开电视,http://livetv.dnsfor.me:80/channel.9.m3u8
开电视,http://uc6.i-cable.com/live_freedirect/opentvhd001_h.live/playlist.m3u8
无线新闻台,http://hg.lik2004k.ml/xg.php?id=0&hq
无线财经台,http://hg.lik2004k.ml/xg.php?id=2&hq
无线新闻台,http://hg.lik2004k.ml/live.php?id=1
无线财经台,http://hg.lik2004k.ml/live.php?id=2
无线新闻台,http://23.237.10.66:16110
有线新闻台,http://livetv.dnsfor.me:80/channel.5.m3u8
有线财经资讯台,https://api.leonardpark.dev/live/icable/108
有线新闻台,https://api.leonardpark.dev/live/icable/109
新加坡8频道,http://23.237.10.66:16150
马来8频道,http://51.79.82.208:16005
NOW体育,http://livetv.dnsfor.me:80/channel.12.m3u8
NOW新闻,http://livetv.dnsfor.me:80/channel.4.m3u8
NOW直播,http://livetv.dnsfor.me/channel.3.m3u8
翡翠台J,http://23.237.10.66:16410
翡翠台,http://223.17.122.230:9981/stream/channelid/1847209808?ticket=3c53b520f7ae8e8d804712782f6ad89c82688c44&profile=pass
明珠台HD,http://223.17.122.230:9981/stream/channelid/2119115367?ticket=bb3cb24126a9d99588a9776ff6852184ac431db1&profile=pass
RTHK31HD,http://livetv.dnsfor.me:80/channel.1.m3u8
RTHK32HD,http://livetv.dnsfor.me:80/channel.2.m3u8
卫视电影台,http://23.237.10.66:16010
天映电影,http://51.79.82.208:16024
ASTRO 双星,http://51.79.82.208:16021
台视HD,http://23.237.10.66:16344
三立新闻,http://23.237.10.66:16342
民视HD,http://23.237.10.66:16334
中天综合HD,http://23.237.10.66:16372
HOY,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY咨询台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
RTHK31[1920*1080],http://185.207.176.189:8080/channels/tv-31/playlist.m3u8
RTHK34[1920*1080],http://185.207.176.189:8080/channels/tv-34/playlist.m3u8
RTHK32[1920*1080],http://185.207.176.189:8080/channels/tv-32/playlist.m3u8
RTHK33[1920*1080],http://185.207.176.189:8080/channels/tv-33/playlist.m3u8
J2台[1920*1080],http://185.207.176.189:8080/channels/tv-82/playlist.m3u8
翡翠台[1920*1080],http://185.207.176.189:8080/channels/tv-81/playlist.m3u8
无线新闻台[1920*1080],http://185.207.176.189:8080/channels/tv-83/playlist.m3u8
明珠台[1920*1080],http://185.207.176.189:8080/channels/tv-84/playlist.m3u8
无线财经台[1920*1080],http://185.207.176.189:8080/channels/tv-85/playlist.m3u8
Viutv6[1920*1080],http://185.207.176.189:8080/channels/tv-96/playlist.m3u8
Viutv[1920*1080],http://185.207.176.189:8080/channels/tv-99/playlist.m3u8
地区频道,#genre#
梨园频道,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225581/2/index.m3u8
爱上4K,http://192.168.123.1:4200/udp/238.1.78.23:6112
纪实人文,http://192.168.123.1:4200/udp/238.1.78.153:7096
金鹰纪实,http://192.168.123.1:4200/udp/238.1.79.9:4184
全纪实,http://192.168.123.1:4200/udp/238.1.78.151:7080
欢笑4K,http://192.168.123.1:4200/udp/238.1.79.67:4672
安徽卫视,http://192.168.123.1:4200/udp/238.1.78.150:7072
安徽公共,http://192.168.123.1:4200/udp/238.1.79.43:4456
安徽经视,http://192.168.123.1:4200/udp/238.1.79.44:4464
安徽科教,http://192.168.123.1:4200/udp/238.1.79.40:4432
安徽人物,http://192.168.123.1:4200/udp/238.1.79.45:4472
安徽影视,http://192.168.123.1:4200/udp/238.1.79.42:4448
安徽综艺,http://192.168.123.1:4200/udp/238.1.79.41:4440
海豚健康(付费),http://192.168.123.1:4200/udp/238.1.79.33:4376
海豚少儿(付费),http://192.168.123.1:4200/udp/238.1.79.32:4368
海豚生活,http://192.168.123.1:4200/udp/238.1.79.50:4512
海豚影视(付费),http://192.168.123.1:4200/udp/238.1.79.34:4384
合肥新闻,http://192.168.123.1:4200/udp/238.1.78.111:6760
爱生活,http://192.168.123.1:4200/udp/238.1.78.17:4040
乐游,http://192.168.123.1:4200/udp/238.1.78.151:7080
动漫秀场,http://192.168.123.1:4200/udp/238.1.78.154:7104
茶(付费),http://192.168.123.1:4200/udp/238.1.79.30:4352
生活时尚,http://192.168.123.1:4200/udp/238.1.78.155:7112
快乐垂钓(付费),http://192.168.123.1:4200/udp/238.1.79.31:4360
陶瓷,http://192.168.123.1:4200/udp/238.1.78.157:7128
体育赛事(付费),http://192.168.123.1:4200/udp/238.1.78.33:6192
足球频道,http://192.168.123.1:4200/udp/238.1.78.250:7872
IPTV5+,http://192.168.123.1:4200/udp/238.1.78.238:7776
CCTV-1HD,http://192.168.123.1:4200/udp/238.1.81.14:8052
CCTV2HD,http://192.168.123.1:4200/udp/238.1.81.29:8112
CCTV-5+HD,http://192.168.123.1:4200/udp/238.1.81.30:8116
CCTV7HD,http://192.168.123.1:4200/udp/238.1.81.31:8120
CCTV9HD,http://192.168.123.1:4200/udp/238.1.81.32:8124
CCTV10HD,http://192.168.123.1:4200/udp/238.1.81.33:8128
CCTV12HD,http://192.168.123.1:4200/udp/238.1.81.34:8132
CCTV13HD,http://192.168.123.1:4200/udp/238.1.81.47:8184
CCTV14HD,http://192.168.123.1:4200/udp/238.1.81.35:8136
CCTV17HD,http://192.168.123.1:4200/udp/238.1.81.37:8144
安徽81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.25:8096
东南81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.27:8104
江西81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.28:8108
广西81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.8:8028
陕西81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.9:8032
云南81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.10:8036
深圳81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.38:8148
四川81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.39:8152
重庆81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.40:8156
黑龙江81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.41:8160
湖南81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.42:8164
北京81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.43:8168
东方81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.44:8172
浙江81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.45:8176
江苏81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.46:8180
湖北81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.48:8188
山东81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.49:8192
吉林81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.52:8204
河北81IPTVHD,http://192.168.123.1:4200/udp/238.1.81.36:8140
安徽经济HD,http://192.168.123.1:4200/udp/238.1.81.53:8208
安徽影视HD,http://192.168.123.1:4200/udp/238.1.81.54:8212
安徽公共HD,http://192.168.123.1:4200/udp/238.1.81.55:8216
安徽综艺体育HD,http://192.168.123.1:4200/udp/238.1.81.56:8220
安徽农业科教HD,http://192.168.123.1:4200/udp/238.1.81.57:8224
金鹰卡通HD,http://192.168.123.1:4200/udp/238.1.81.17:8064
CETV4,http://192.168.123.1:4200/udp/238.1.81.50:8196
山东教育,http://192.168.123.1:4200/udp/238.1.81.51:8200
区县频道,#genre#
阜阳都市,http://192.168.123.1:4200/udp/238.1.78.127:6888
阜阳公共,http://192.168.123.1:4200/udp/238.1.78.125:6872
阜阳教育,http://192.168.123.1:4200/udp/238.1.78.126:6880
阜阳新闻,http://192.168.123.1:4200/udp/238.1.78.124:6864
亳州农村,http://192.168.123.1:4200/udp/238.1.78.129:6904
亳州综合,http://192.168.123.1:4200/udp/238.1.78.128:6896
安庆公共,http://192.168.123.1:4200/udp/238.1.78.118:6816
安庆黄梅戏,http://192.168.123.1:4200/udp/238.1.78.120:6832
安庆新闻,http://192.168.123.1:4200/udp/238.1.78.117:6808
蚌埠公共,http://192.168.123.1:4200/udp/238.1.78.181:7320
蚌埠新闻,http://192.168.123.1:4200/udp/238.1.78.180:7312
池州二套,http://192.168.123.1:4200/udp/238.1.78.148:7056
池州一套,http://192.168.123.1:4200/udp/238.1.78.147:7048
滁州公共,http://192.168.123.1:4200/udp/238.1.78.133:6936
滁州科教,http://192.168.123.1:4200/udp/238.1.78.134:6944
滁州综合,http://192.168.123.1:4200/udp/238.1.78.132:6928
宣城公共,http://192.168.123.1:4200/udp/238.1.78.143:7016
宣城新闻,http://192.168.123.1:4200/udp/238.1.78.142:7008
芜湖公共,http://192.168.123.1:4200/udp/238.1.78.80:6512
芜湖教育,http://192.168.123.1:4200/udp/238.1.78.167:7208
芜湖生活,http://192.168.123.1:4200/udp/238.1.78.152:7088
芜湖县新闻,http://192.168.123.1:4200/udp/238.1.78.187:7368
芜湖新闻,http://192.168.123.1:4200/udp/238.1.78.112:6768
淮北公共,http://192.168.123.1:4200/udp/238.1.78.136:6960
淮北教育,http://192.168.123.1:4200/udp/238.1.78.137:6968
淮北新闻,http://192.168.123.1:4200/udp/238.1.78.135:6952
淮南公共,http://192.168.123.1:4200/udp/238.1.78.114:6784
淮南新闻,http://192.168.123.1:4200/udp/238.1.78.113:6776
黄山公共,http://192.168.123.1:4200/udp/238.1.78.131:6920
黄山新闻,http://192.168.123.1:4200/udp/238.1.78.130:6912
铜陵电视台,http://192.168.123.1:4200/udp/238.1.78.139:6984
铜陵二套,http://192.168.123.1:4200/udp/238.1.78.140:6992
铜陵三套,http://192.168.123.1:4200/udp/238.1.78.141:7000
宿州公共,http://192.168.123.1:4200/udp/238.1.78.122:6848
